n,ns_per_op
0010000,7085393
0010000,6715461
0010000,6781677
0030000,20461012
0030000,20978385
0030000,20409029
0050000,33608949
0050000,33568300
0050000,33320390
0070000,47160308
0070000,46620011
0070000,46579936
0090000,60248056
0090000,60015772
0090000,60397239
0110000,73904347
0110000,74251692
0110000,73794915
0130000,87763605
0130000,87002786
0130000,87371068
0150000,103443777
0150000,103940441
0150000,103765711
0170000,117501915
0170000,117889142
0170000,118236837
0190000,131736247
0190000,132237503
0190000,131380581
